id,status
1,different
2,equal
3,different
4,different
5,different
6,different
7,missing_in_results
8,different
9,different
10,different
11,different
12,equal
13,different
14,different
15,missing_in_results
16,missing_in_results
17,different
18,different
19,different
20,different
21,different
22,different
23,different
24,different
25,different
26,different
27,equal
28,equal
29,different
30,different
31,different
32,different
33,missing_in_results
34,equal
35,different
36,different
37,different
38,different
39,different
40,different
41,different
42,different
43,different
44,different
45,equal
46,equal
47,different
48,different
49,different
50,different
51,missing_in_results
52,different
53,different
54,different
55,equal
56,different
57,equal
58,different
59,different
60,different
61,different
62,missing_in_results
63,different
64,different
65,different
66,different
67,missing_in_results
68,different
69,equal
70,different
71,different
72,different
73,equal
74,equal
75,equal
76,equal
77,equal
78,equal
79,missing_in_results
80,equal
